Näytteen nro,Depth (cm),depth_cntr,Fresh weight (g),Dry weight (f),Weight after ignition (g),water content (%),LOI (%),Peat density (g cm-3),LORCA   g m¯² yr¯¹,g C cm-3
1,50-60,55,14.15,1.95,0.66,86.25,66.27,0.13,14.93,0.034
2,60-70,65,14.25,1.92,0.67,86.55,65.02,0.13,14.70,0.033
3,70-80,75,14.26,1.84,0.66,87.10,64.38,0.12,14.11,0.032
4,80-90,85,14.73,2.06,0.76,86.02,62.96,0.14,15.79,0.035
5,90-100,95,12.39,1.91,0.68,84.60,64.26,0.13,14.63,0.033
6,100-110,105,11.43,1.75,0.63,84.72,64.16,0.12,13.39,0.030
7,110-120,115,11.35,1.70,0.61,85.04,63.86,0.11,13.02,0.029
8,120-130,125,11.44,1.55,0.60,86.46,61.52,0.10,11.88,0.025
9,130-140,135,11.46,1.49,0.59,87.03,60.21,0.10,11.40,0.024
10,140-150,145,10.70,1.30,0.50,87.88,61.38,0.09,9.95,0.021
11,150-160,155,12.11,1.60,0.63,86.79,60.66,0.11,12.27,0.026
12,160-170,165,12.59,1.43,0.54,88.64,62.23,0.10,10.97,0.024
13,170-180,175,13.43,1.33,0.52,90.12,60.56,0.09,10.17,0.021
14,180-190,185,12.10,1.44,0.56,88.13,61.32,0.10,11.01,0.023
15,190-200,195,13.60,1.41,0.62,89.64,56.26,0.09,10.81,0.021
16,200-210,205,15.65,1.22,0.47,92.17,61.78,0.08,9.39,0.020
17,210-220,215,15.13,1.67,0.75,88.98,55.19,0.11,12.78,0.025
18o,220-230,225,15.75,5.98,5.29,62.03,11.54,0.40,45.87,0.018
